,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,_c39
181,35,29,818167,2011-08-25,IN,500/1000,2000,653.66,0,475483,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,NO,0,0,?,78300,15660,7830,54810,BMW,X5,2009,N,
182,123,29,379268,2012-08-05,IN,250/500,500,1209.63,0,447188,FEMALE,Masters,machine-op-inspct,chess,not-in-family,64800,-44200,2015-01-14,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,8368 Cherokee Ave,17,1,YES,1,0,YES,73260,16280,0,56980,Volkswagen,Jetta,2014,Y,
183,45,38,589749,2006-05-14,IN,100/300,1000,1197.71,0,470117,MALE,Masters,machine-op-inspct,movies,not-in-family,29000,0,2015-02-14,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Springfield,3770 Flute Drive,17,3,?,2,0,?,78240,13040,13040,52160,Suburu,Legacy,2013,N,
184,404,53,739447,2014-12-10,IN,250/500,500,767.14,0,466201,MALE,Associate,sales,reading,not-in-family,25500,-36700,2015-01-14,Parked Car,?,Trivial Damage,Police,WV,Columbus,3327 Lincoln Drive,8,1,NO,0,1,NO,8800,1760,880,6160,Suburu,Legacy,2002,N,
185,404,53,739447,2014-12-10,IN,250/500,500,767.14,0,466201,MALE,Associate,sales,reading,not-in-family,25500,-36700,2015-01-14,Parked Car,?,Trivial Damage,Police,WV,Columbus,3327 Lincoln Drive,8,1,NO,0,1,NO,8800,1760,880,6160,Suburu,Legacy,2002,N,
186,31,32,231548,1999-09-07,IL,100/300,2000,1263.48,4000000,442948,FEMALE,JD,other-service,hiking,wife,46800,-87300,2015-02-07,Single Vehicle Collision,Side Collision,Major Damage,Fire,WV,Hillsdale,6536 MLK Hwy,10,1,?,2,0,?,63600,5300,10600,47700,Audi,A5,1997,Y,
187,233,43,898519,2000-05-21,OH,250/500,1000,954.18,0,437470,FEMALE,College,tech-support,dancing,other-relative,0,0,2015-02-17,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbrook,8995 1st Ave,17,3,?,2,3,YES,42500,8500,4250,29750,Nissan,Pathfinder,2000,N,
188,37,23,448961,2006-04-30,IL,500/1000,500,1475.93,0,441648,FEMALE,College,prof-specialty,hiking,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,N,
189,12,24,491484,1994-11-18,IL,500/1000,1000,1143.95,0,464353,FEMALE,PhD,tech-support,paintball,other-relative,51400,0,2015-02-04,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Riverwood,6329 Apache Ave,13,3,NO,2,1,?,53370,5930,5930,41510,Nissan,Ultima,2011,N,
190,117,28,336047,2003-04-21,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,2015-02-05,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,YES,0,1,?,55440,5040,10080,40320,Suburu,Forrestor,2009,Y,
191,70,26,558938,2005-06-08,OH,500/1000,1000,1199.44,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,?,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N,
192,138,30,689034,2002-01-09,OH,500/1000,500,1093.07,4000000,463291,FEMALE,PhD,other-service,reading,wife,27700,-72400,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,9633 Rock Hwy,0,1,?,2,2,NO,83160,6930,13860,62370,Volkswagen,Jetta,2011,N,
193,245,42,218456,2002-07-16,IL,500/1000,1000,1575.74,7000000,614265,MALE,JD,exec-managerial,chess,other-relative,0,-68900,2015-02-20,Parked Car,?,Minor Damage,Police,PA,Springfield,9685 Sky Ridge,19,1,?,2,2,?,6490,590,1180,4720,Toyota,Camry,2011,Y,
194,126,31,889003,1996-08-18,OH,250/500,1000,1328.26,0,613921,MALE,Masters,sales,exercise,not-in-family,42300,-45800,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Hillsdale,3447 Solo Ave,17,1,NO,1,1,NO,60840,13520,6760,40560,Suburu,Forrestor,2011,N,
195,134,32,203914,2001-06-09,OH,100/300,1000,1000.06,0,440961,FEMALE,PhD,farming-fishing,base-jumping,wife,0,0,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,7121 Britain Drive,17,1,?,1,0,?,82720,7520,15040,60160,Audi,A3,2014,N,
196,236,38,873859,1992-10-14,OH,250/500,1000,802.24,0,612597,FEMALE,College,other-service,paintball,not-in-family,0,-62500,2015-02-23,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Northbrook,8906 Elm Lane,16,1,NO,0,1,?,66840,16710,5570,44560,Mercedes,E400,2014,N,
197,343,48,436126,2009-11-03,IN,250/500,500,1451.54,3000000,473412,MALE,JD,adm-clerical,hiking,husband,0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,3167 2nd St,13,4,NO,2,3,NO,65070,7230,14460,43380,Mercedes,C300,2003,N,
198,270,45,166264,2010-01-12,OH,500/1000,1000,1038.09,0,476978,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998,N,
199,285,43,171254,1994-11-07,OH,100/300,2000,1512.58,0,452496,FEMALE,College,sales,paintball,other-relative,47600,0,2015-01-13,Vehicle Theft,?,Minor Damage,Police,SC,Arlington,8718 Apache Lane,7,1,?,1,1,?,2520,280,280,1960,BMW,3 Series,1997,N,
200,225,37,373600,2000-12-01,OH,100/300,1000,1217.84,5000000,443462,FEMALE,High School,farming-fishing,yachting,not-in-family,49600,0,2015-02-07,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6501 5th Drive,19,3,?,2,2,NO,57600,9600,9600,38400,Volkswagen,Passat,2015,N,
201,266,44,576723,1999-12-07,IL,250/500,500,1611.83,0,460176,MALE,High School,handlers-cleaners,movies,husband,0,0,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,4,1,?,1,2,YES,32800,3280,3280,26240,BMW,3 Series,2012,N,
202,140,35,155912,2008-03-21,OH,100/300,1000,1520.78,0,470538,FEMALE,High School,craft-repair,chess,wife,0,-42900,2015-01-21,Parked Car,?,Trivial Damage,,SC,Columbus,3320 5th Hwy,5,1,?,0,2,YES,2860,520,260,2080,Chevrolet,Tahoe,1997,Y,
203,295,48,678849,1992-02-22,OH,500/1000,1000,1332.07,0,609409,FEMALE,MD,exec-managerial,polo,unmarried,49700,-59100,2015-01-28,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,1815 Cherokee Drive,20,2,NO,2,1,YES,86060,13240,13240,59580,Volkswagen,Passat,2002,N,
204,122,34,139872,2006-06-01,IN,250/500,1000,1220.71,0,603639,MALE,PhD,machine-op-inspct,video-games,own-child,58600,-28700,2015-02-27,Parked Car,?,Minor Damage,,SC,Northbend,9101 2nd Hwy,5,1,?,2,1,YES,8190,1890,1260,5040,Chevrolet,Silverado,2013,N,
205,108,29,237418,2007-12-04,IN,500/1000,1000,1337.92,0,441536,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,71400,0,2015-02-23,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Columbus,7684 Francis Ridge,4,3,NO,2,2,YES,61380,11160,5580,44640,Suburu,Legacy,2012,N,
206,436,59,153154,2010-08-21,OH,500/1000,1000,1338.55,0,430380,MALE,PhD,protective-serv,board-games,own-child,39000,0,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,10,3,?,2,2,NO,68000,13600,6800,47600,Toyota,Corolla,2014,N,
207,460,62,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,Impreza,2011,N,
208,266,44,576723,1999-12-07,IL,250/500,500,1611.83,0,460176,MALE,High School,handlers-cleaners,movies,husband,0,0,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,4,1,?,1,2,YES,32800,3280,3280,26240,BMW,3 Series,2012,N,
209,230,43,505316,2002-06-30,IN,100/300,2000,1221.14,0,473394,MALE,MD,prof-specialty,board-games,wife,48100,0,2015-01-07,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Hillsdale,3089 Oak Ridge,13,1,?,0,2,?,75460,13720,13720,48020,Audi,A5,2002,N,
210,15,34,399524,1997-10-30,IL,100/300,1000,1829.63,0,452204,MALE,JD,tech-support,cross-fit,not-in-family,56700,0,2015-02-03,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,1358 Maple St,21,3,YES,1,0,?,67650,12300,6150,49200,Audi,A5,2009,N,
211,300,49,795847,1995-12-17,IL,100/300,1000,1441.21,0,609322,FEMALE,PhD,farming-fishing,kayaking,wife,0,0,2015-01-04,Vehicle Theft,?,Trivial Damage,,SC,Columbus,1992 Britain Drive,3,1,NO,1,0,NO,7080,1180,1180,4720,Nissan,Maxima,2001,N,
212,405,57,676255,1999-12-28,IN,500/1000,1000,1132.47,4000000,434293,MALE,MD,priv-house-serv,exercise,other-relative,46300,0,2015-01-08,Multi-vehicle Collision,Front Collision,Total Loss,Other,NY,Northbend,3841 Washington Lane,21,3,?,2,3,?,61440,10240,10240,40960,Saab,93,2008,N,
213,334,50,797634,2009-11-12,OH,500/1000,500,1216.24,0,613945,MALE,Masters,priv-house-serv,polo,wife,26700,-47200,2015-01-14,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Columbus,8639 5th Hwy,7,1,NO,2,0,?,50000,5000,10000,35000,Chevrolet,Silverado,2008,N,
214,210,39,620020,1997-06-21,OH,500/1000,1000,984.45,0,474998,MALE,Associate,armed-forces,paintball,unmarried,0,0,2015-01-02,Vehicle Theft,?,Minor Damage,,NC,Riverwood,4615 Embaracadero Ave,4,1,YES,1,2,?,7800,780,780,6240,Dodge,RAM,1997,N,
215,30,36,364055,2001-05-14,IN,500/1000,500,1488.26,0,440831,FEMALE,College,machine-op-inspct,golf,wife,0,-63500,2015-02-28,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Northbrook,4627 Elm Ridge,17,3,NO,2,2,?,57900,5790,5790,46320,Saab,95,2008,N,
216,132,32,684653,1997-11-15,OH,250/500,2000,1106.84,0,464362,MALE,PhD,other-service,reading,wife,43100,-31900,2015-01-07,Vehicle Theft,?,Minor Damage,Police,SC,Riverwood,4577 Sky Hwy,21,1,YES,1,1,YES,5600,1120,560,3920,Suburu,Legacy,2005,N,
217,252,39,261905,2004-02-28,IL,500/1000,500,1312.22,9000000,609949,MALE,High School,transport-moving,cross-fit,other-relative,0,-33300,2015-02-21,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,4835 Britain Ridge,15,3,?,0,3,NO,59400,11880,5940,41580,Jeep,Grand Cherokee,2010,Y,
218,460,62,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,Impreza,2011,N,
219,479,60,698589,2002-11-28,IL,500/1000,1000,1188.45,0,459295,FEMALE,MD,exec-managerial,camping,other-relative,0,-44800,2015-01-18,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Arlington,3275 Pine St,9,2,?,0,3,?,53900,5390,10780,37730,Saab,95,2006,N,
220,91,31,268833,1999-09-18,IN,100/300,1000,1338.4,4000000,431937,FEMALE,High School,priv-house-serv,polo,own-child,63600,0,2015-02-25,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,Hillsdale,7299 Apache St,19,1,?,1,0,NO,60570,6730,6730,47110,Nissan,Maxima,2011,N,
221,156,31,475588,1996-09-21,IL,100/300,2000,1134.08,0,446895,MALE,PhD,other-service,reading,husband,0,0,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,?,2,0,?,59000,5900,5900,47200,Ford,Fusion,2013,Y,
222,289,46,858060,2004-05-31,IL,250/500,2000,1209.07,0,604138,MALE,JD,armed-forces,chess,unmarried,0,0,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,5649 Texas Ave,18,1,YES,0,1,YES,56430,6270,6270,43890,BMW,3 Series,1995,Y,
223,217,39,394975,2002-06-02,IN,100/300,1000,1530.52,0,603993,MALE,College,armed-forces,basketball,not-in-family,0,0,2015-02-22,Vehicle Theft,?,Minor Damage,,WV,Northbend,2644 Elm Drive,8,1,?,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,N,
224,381,55,963761,1991-04-13,OH,500/1000,500,1459.99,0,445856,FEMALE,MD,other-service,chess,wife,35900,0,2015-01-12,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,7544 Washington Ave,8,1,YES,1,2,YES,60600,12120,6060,42420,Accura,TL,2011,N,
225,232,44,221854,1994-10-03,OH,250/500,2000,1181.64,0,454552,MALE,College,other-service,exercise,wife,25800,0,2015-02-08,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Northbend,1320 Flute Lane,22,1,?,1,1,YES,55400,5540,11080,38780,Jeep,Grand Cherokee,2002,Y,
226,253,41,228403,2004-04-20,IN,100/300,1000,1435.09,0,471519,FEMALE,College,machine-op-inspct,bungie-jumping,not-in-family,36600,0,2015-01-11,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbrook,7069 4th Hwy,17,1,NO,2,0,?,56610,6290,6290,44030,Chevrolet,Tahoe,1995,N,
227,238,39,134430,2006-12-06,IN,250/500,2000,1488.02,0,600275,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200,2015-02-25,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,5445 Tree Hwy,9,1,YES,1,3,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010,N,
228,254,41,496067,1995-12-22,IL,250/500,500,1581.27,5000000,603827,FEMALE,PhD,handlers-cleaners,skydiving,own-child,42200,-48000,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Riverwood,3029 5th Ave,8,1,YES,2,2,NO,63470,5770,11540,46160,BMW,X6,1999,N,
229,198,34,263108,2003-05-29,OH,250/500,1000,1576.41,0,614941,MALE,Associate,handlers-cleaners,kayaking,other-relative,0,-55100,2015-02-25,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,6834 1st Drive,18,1,YES,1,1,YES,95000,9500,9500,76000,Ford,F150,2001,N,
230,228,44,367455,2014-06-06,IL,500/1000,1000,1583.91,6000000,610706,MALE,Associate,sales,board-games,unmarried,66000,-46000,2015-02-17,Vehicle Theft,?,Minor Damage,,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,N,
231,86,26,391652,1998-10-12,OH,100/300,500,1382.88,7000000,434923,MALE,JD,tech-support,cross-fit,other-relative,0,-30300,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,2293 Washington Ave,11,1,?,1,1,YES,81840,14880,7440,59520,Chevrolet,Malibu,2011,Y,
232,245,41,267885,2013-08-26,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,4,1,YES,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N,
233,143,33,889764,1993-11-30,OH,500/1000,1000,1200.09,0,454191,FEMALE,Associate,craft-repair,board-games,unmarried,38400,-5700,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Fire,WV,Arlington,8014 Embaracadero Drive,17,3,?,2,2,?,70400,14080,7040,49280,Accura,RSX,2002,N,
234,5,21,577992,2002-11-13,IN,250/500,500,915.41,5000000,612316,FEMALE,High School,exec-managerial,sleeping,own-child,0,0,2015-02-11,Single Vehicle Collision,Side Collision,Total Loss,Police,NY,Northbrook,8456 1st Ave,23,1,YES,0,0,NO,40500,4050,4050,32400,Nissan,Pathfinder,1998,N,
235,332,47,994538,1991-11-01,IL,100/300,2000,1083.01,0,448882,MALE,MD,craft-repair,paintball,other-relative,91900,0,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,YES,2,0,?,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,Y,
236,165,35,976908,2012-12-31,IL,250/500,500,900.02,6000000,448466,MALE,College,craft-repair,camping,own-child,0,-49900,2015-02-24,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,9007 Francis Hwy,8,1,NO,1,3,YES,69700,6970,6970,55760,BMW,3 Series,2008,N,
237,299,42,337677,2008-07-20,OH,100/300,2000,1437.33,0,450339,FEMALE,Associate,craft-repair,movies,wife,25000,0,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,1091 1st Drive,13,1,YES,1,3,NO,70400,12800,12800,44800,BMW,3 Series,2000,N,
238,154,37,241562,2010-01-28,IL,250/500,1000,2047.59,0,439269,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,?,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,N,
239,242,40,118137,1998-02-10,OH,100/300,500,1238.65,0,468702,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,2015-01-27,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,YES,1,1,NO,7480,680,680,6120,Saab,95,1998,N,
240,362,55,636843,2008-12-01,OH,100/300,1000,1097.99,0,442239,FEMALE,JD,other-service,base-jumping,unmarried,44400,-71500,2015-02-17,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Hillsdale,5160 2nd Hwy,0,3,NO,0,3,NO,39690,0,0,39690,Suburu,Legacy,1998,N,
241,386,53,630683,2007-10-23,OH,250/500,500,1078.65,0,615730,MALE,JD,craft-repair,camping,not-in-family,36800,0,2015-01-03,Single Vehicle Collision,Front Collision,Minor Damage,Police,WV,Northbend,1364 Best St,16,1,?,2,3,YES,66660,12120,6060,48480,Honda,Civic,2006,N,
242,270,45,497347,2003-08-23,OH,500/1000,500,1187.53,0,615383,FEMALE,PhD,priv-house-serv,yachting,not-in-family,83200,-53300,2015-02-24,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,Columbus,9720 Lincoln Hwy,23,3,?,0,0,YES,54340,9880,0,44460,Saab,92x,2005,N,
243,257,44,109392,2006-07-12,OH,100/300,1000,1280.88,0,433981,MALE,MD,other-service,basketball,other-relative,59400,-32200,2015-02-06,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Riverwood,5312 Francis Ridge,21,1,NO,0,1,NO,46980,0,5220,41760,Accura,TL,2002,N,
244,460,57,396590,1997-11-07,OH,100/300,2000,1567.37,0,602514,FEMALE,JD,craft-repair,skydiving,husband,62500,0,2015-02-15,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Riverwood,5865 Sky Lane,10,1,?,2,3,NO,58300,5830,11660,40810,Nissan,Maxima,2014,Y,
245,436,59,153154,2010-08-21,OH,500/1000,1000,1338.55,0,430380,MALE,PhD,protective-serv,board-games,own-child,39000,0,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,10,3,?,2,2,NO,68000,13600,6800,47600,Toyota,Corolla,2014,N,
246,143,33,889764,1993-11-30,OH,500/1000,1000,1200.09,0,454191,FEMALE,Associate,craft-repair,board-games,unmarried,38400,-5700,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Fire,WV,Arlington,8014 Embaracadero Drive,17,3,?,2,2,?,70400,14080,7040,49280,Accura,RSX,2002,N,
247,344,51,689901,1992-04-28,IN,100/300,2000,1398.46,0,455672,MALE,Associate,sales,skydiving,other-relative,0,0,2015-02-02,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Northbend,1910 Sky Ave,14,1,?,0,2,NO,82830,7530,15060,60240,Audi,A5,2004,N,
248,265,41,626074,1997-09-29,IN,250/500,2000,1724.46,6000000,432491,FEMALE,Associate,craft-repair,sleeping,own-child,81800,0,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,1985 5th Ave,18,3,?,1,3,?,44200,4420,4420,35360,Audi,A5,2014,N,
249,27,33,485665,1997-02-05,IL,100/300,500,1442.99,0,601734,FEMALE,PhD,other-service,golf,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,N,
250,334,50,797634,2009-11-12,OH,500/1000,500,1216.24,0,613945,MALE,Masters,priv-house-serv,polo,wife,26700,-47200,2015-01-14,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Columbus,8639 5th Hwy,7,1,NO,2,0,?,50000,5000,10000,35000,Chevrolet,Silverado,2008,N,
251,154,37,241562,2010-01-28,IL,250/500,1000,2047.59,0,439269,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,?,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,N,
252,140,30,521592,2014-06-15,IL,100/300,500,1354.2,0,438775,FEMALE,College,adm-clerical,bungie-jumping,wife,100500,0,2015-02-10,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Columbus,2537 5th Ave,4,4,?,0,0,?,60170,5470,10940,43760,Nissan,Pathfinder,2006,N,
253,229,41,378587,1998-12-16,OH,250/500,2000,1107.59,3000000,468202,MALE,PhD,tech-support,chess,not-in-family,65400,0,2015-01-23,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,6888 Elm Ridge,23,1,NO,1,3,NO,62640,10440,10440,41760,Mercedes,C300,2009,N,
254,267,46,362843,2004-08-09,OH,250/500,2000,1111.17,0,469438,MALE,MD,craft-repair,base-jumping,unmarried,35000,0,2015-02-03,Parked Car,?,Trivial Damage,,WV,Arlington,4905 Best Lane,3,1,YES,2,3,YES,4950,900,450,3600,Toyota,Camry,1995,N,
255,285,41,186934,2014-01-05,IL,100/300,1000,1436.79,0,608177,FEMALE,PhD,prof-specialty,sleeping,wife,70900,0,2015-01-24,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,3092 Texas Drive,23,1,YES,2,3,?,108480,18080,18080,72320,Volkswagen,Passat,2015,N,
256,17,39,774895,2006-10-28,IL,250/500,1000,840.95,0,431202,FEMALE,JD,adm-clerical,hiking,unmarried,32500,-80800,2015-02-26,Parked Car,?,Trivial Damage,Police,SC,Arlington,7042 Maple Ridge,9,1,?,2,1,?,3440,430,430,2580,Suburu,Legacy,2002,N,
257,398,55,844062,1990-05-25,OH,250/500,500,862.19,0,606858,MALE,High School,adm-clerical,movies,unmarried,69400,0,2015-02-23,Vehicle Theft,?,Trivial Damage,Police,SC,Northbend,8167 Apache Ave,7,1,?,2,3,?,6600,600,1200,4800,Accura,MDX,2012,N,
258,32,29,108270,2002-08-09,OH,100/300,500,1446.98,0,436560,MALE,MD,adm-clerical,sleeping,own-child,0,-45700,2015-02-11,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,9236 2nd Hwy,11,3,YES,2,0,NO,57970,10540,5270,42160,Saab,93,2006,N,
259,234,43,965187,1990-03-26,OH,250/500,500,1257.04,0,448294,MALE,Associate,protective-serv,reading,own-child,0,-48800,2015-03-01,Single Vehicle Collision,Rear Collision,Major Damage,Police,SC,Northbrook,7197 2nd Drive,4,1,NO,2,2,YES,51600,10320,5160,36120,Dodge,Neon,2011,N,
260,204,40,942106,1993-08-30,OH,250/500,2000,1767.02,0,453193,MALE,JD,machine-op-inspct,hiking,husband,0,-49300,2015-02-27,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Arlington,3799 Embaracadero Drive,7,1,YES,1,1,NO,46200,4200,8400,33600,Audi,A5,1997,N,
261,360,51,550294,2001-11-26,IL,500/1000,1000,1526.61,0,471866,MALE,Masters,handlers-cleaners,chess,not-in-family,0,-32900,2015-01-30,Vehicle Theft,?,Minor Damage,Police,SC,Hillsdale,4264 Lincoln Ridge,5,1,YES,2,2,?,4620,840,840,2940,Dodge,RAM,2009,Y,
262,259,42,382394,1996-01-23,OH,100/300,2000,1170.53,0,465667,FEMALE,PhD,armed-forces,sleeping,wife,65000,-49200,2015-01-12,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbend,8897 Sky St,17,3,NO,1,2,YES,62590,5690,11380,45520,Nissan,Pathfinder,2006,N,
263,285,41,186934,2014-01-05,IL,100/300,1000,1436.79,0,608177,FEMALE,PhD,prof-specialty,sleeping,wife,70900,0,2015-01-24,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,3092 Texas Drive,23,1,YES,2,3,?,108480,18080,18080,72320,Volkswagen,Passat,2015,N,
264,79,26,206213,1995-05-08,IL,100/300,500,1451.62,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,?,40000,8000,4000,28000,BMW,M5,2010,N,
265,250,43,687755,1990-03-28,IL,500/1000,2000,1539.06,0,434150,MALE,Masters,sales,exercise,other-relative,37800,0,2015-01-20,Single Vehicle Collision,Front Collision,Minor Damage,Fire,SC,Hillsdale,4214 MLK Ridge,2,1,NO,0,3,?,64200,10700,10700,42800,Ford,F150,2002,N,
266,32,38,356768,2010-03-11,IL,100/300,500,1006.77,6000000,478172,FEMALE,College,other-service,sleeping,own-child,0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,1997,N,
267,337,53,498842,2000-05-04,OH,100/300,500,1205.86,0,444583,MALE,Associate,armed-forces,basketball,wife,0,-34600,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Arlington,3227 Maple Ave,8,1,YES,0,1,NO,86400,14400,7200,64800,Accura,RSX,2001,N,
